"The Island of Doctor Moreau",,,,,171,,,"English",,823,,,,"H. G. Wells","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Island-of-Doctor-Moreau.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Jungle Book",,,,,189,,,"English",,823,,,,"Rudyard Kipling","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Jungle-Book.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Last of the Mohicans",,,,,559,,,"English",,823,,,,"James Fenimore Cooper","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Last-of-the-Mohicans.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Legend of Sleepy Hollow",,,,,43,,,"English",,823,,,,"Washington Irving","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Legend-of-Sleepy-Hollow.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Odyssey",,,,,443,,,"English",,823,,,,"Homer, Circa","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Odyssey.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Merry Adventures of Robin Hood",,,,,395,,,"English",,823,,,,"Howard Pyle","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Merry-Adventures-of-Robin-Hood.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Metamorphosis",,,,,77,,,"English",,823,,,,"Franz Kafka","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Metamorphosis.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Picture of Dorian Gray",,,,,198,,,"English",,823,,,,"Oscar Wilde","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Picture-of-Dorian-Gray.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Portrait of a Lady",,,,,837,,,"English",,823,,,,"Henry James","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Portrait-of-a-Lady.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Prince ",,,,,194,,,"English",,823,,,,"Nicolo Machiavelli","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Prince.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
