"How Products Are Made :Incense Stick",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Incense-Stick.html",,,,,"Incense Stick",,,,,,,,,,"5-12","When the Three Wise Men brought their most precious gifts to Bethlehem, two of them—frankincense and myrrh were resins used to make incense. The third gift was gold, but it was the least valuable of these substances at that time.",,,,,,,,,,,,,,
"How Products Are Made :Jam and Jelly",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Jam-and-Jelly.html",,,,,"Jam and Jelly",,,,,,,,,,"5-12","Jams and jellies are spreads typically made from fruit, sugar, and pectin. Jelly is made with the juice of the fruit; jam uses the meat of the fruit as well.",,,,,,,,,,,,,,
"How Products Are Made :Jukebox",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Jukebox.html",,,,,"Jukebox",,,,,,,,,,"5-12","A jukebox is a coin-operated machine that plays music from a record or compact disc (CD) once a selection is made. Originally called nickelodeons, the term jukebox did not appear until the late 1930s and its origins are in dispute.",,,,,,,,,,,,,,
"How Products Are Made :License Plate",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/License-Plate.html",,,,,"License Plate",,,,,,,,,,"5-12","Metal plates attached to motor vehicles are commonly called license plates, but this is a misnomer. The driver of the vehicle must be licensed, and the vehicle is registered; therefore, these plates are really registration plates.",,,,,,,,,,,,,,
"How Products Are Made :Lock",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Lock.html",,,,,"Lock",,,,,,,,,,"5-12","Locks have been used to fasten doors against thieves since earliest times. The Old Testament contains several references to locks, and the first archaeological evidence of locks are about 4,000 years old.",,,,,,,,,,,,,,
"How Products Are Made :LP Record",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/LP-Record.html",,,,,"LP Record",,,,,,,,,,"5-12","Sound has always fascinated human listeners, but, until late in the 1800s, it eluded capture. This fact seems peculiar to us today because, with compact discs, cassette tapes, highly portable players, automobiles with lush sound systems, hundreds of radio stations on the dial, television stations devoted to music, and a myriad of other broadcast sounds, we are surrounded by sound.",,,,,,,,,,,,,,
"How Products Are Made :Lyocell",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Lyocell.html",,,,,"Lyocell",,,,,,,,,,"5-12","Lyocell is a manmade fiber derived from cellulose, better known in the United States under the brand name Tencel. Though it is related to rayon, another cellulosic fabric, lyocell is created by a solvent spinning technique, and the cellulose undergoes no significant chemical change.",,,,,,,,,,,,,,
"How Products Are Made :Macadamia Nut",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Macadamia-Nut.html",,,,,"Macadamia Nut",,,,,,,,,,"5-12","In the world of nuts and berries, macadamia nuts are almost as precious as gold. These delicious, exotic nuts with their rich flavor and oil are considered delicacies and are served as dessert nuts.",,,,,,,,,,,,,,
"How Products Are Made :Molasses",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Molasses.html",,,,,"Molasses",,,,,,,,,,"5-12","Molasses, from the Latin word melaceres, meaning honey-like, is a thick dark syrup that is a byproduct of sugar refining. It results when sugar is crystallized out of sugar cane or sugar beet juice.",,,,,,,,,,,,,,
"How Products Are Made :Mousetrap",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Mousetrap.html",,,,,"Mousetrap",,,,,,,,,,"5-12","Scientists describe the mousetrap as a device that is ""irreducibly complex."" The mousetrap cannot be made more simply and still function, and, at the same time, it is so simple and does its job so well that it gives the illusion of being a profound achievement. ""To build a better mousetrap"" means to achieve an ideal, to reach a pinnacle of achievement, or to create the best possible device in an imperfect world.",,,,,,,,,,,,,,
"How Products Are Made :Mustard",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Mustard.html",,,,,"Mustard",,,,,,,,,,"5-12","A piquant condiment made from the seeds of the mustard plant. When the seeds are crushed, two elements, myronate and myrasin, are released, creating a fiery tasting essence.",,,,,,,,,,,,,,
"How Products Are Made :Nuclear Submarine",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Nuclear-Submarine.html",,,,,"Nuclear Submarine",,,,,,,,,,"5-12","A nuclear submarine is a ship powered by atomic energy that travels primarily under-water, but also on the surface of the ocean. Previously, conventional submarines used diesel engines that required air for moving on the surface of the water, and battery-powered electric motors for moving beneath it.",,,,,,,,,,,,,,
"How Products Are Made :Nutcracker",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Nutcracker.html",,,,,"Nutcracker",,,,,,,,,,"5-12","A nutcracker is a device used to break open the shells of hard, dry fruits, known commonly as nuts, produced by certain species of trees. The edible material within the shell is known as the kernel.",,,,,,,,,,,,,,
"How Products Are Made :Oatmeal",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Oatmeal.html",,,,,"Oatmeal",,,,,,,,,,"5-12","Oatmeal is made from the ground or rolled seeds of oat grass (Avena sativa). It is cooked as cereal or used as an ingredient in baking.",,,,,,,,,,,,,,
"How Products Are Made :Olives",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Olives.html",,,,,"Olives",,,,,,,,,,"5-12","The olive tree boasts two prizes—the olive itself (called the table olive) and the precious oil pressed from the fruit's flesh. In fact, a third prize is the tree which has a twisted trunk full of character, grey-green leaves, and wood which can be used for carving and furniture-making.",,,,,,,,,,,,,,
"How Products Are Made :Paintbrush",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Paintbrush.html",,,,,"Paintbrush",,,,,,,,,,"5-12","A paintbrush is a handheld tool used to apply paint or sealers to paintable surfaces. The brush picks up paint with filament, includes a ferrule that is a metal band that holds the filament and handle together and gives the brush strength, a spacer plug within the ferrule which helps the filament sits tightly in the brush and creates a reservoir for paint, epoxy to lock the filament, and a handle which provides comfort and good balance.",,,,,,,,,,,,,,
"How Products Are Made :Parachute",,,,,,,,,,,,,,,"How Products Are Made",,,,,"http://www.madehow.com/Volume-5/Parachute.html",,,,,"Parachute",,,,,,,,,,"5-12","A parachute is a device used to slow the movement of a person or object as it falls or moves through the air. Used primarily for safe descent from high altitudes (e.g., a spacecraft reentering the atmosphere, a person or object dropped from an airplane), parachutes can also be used in horizontal configurations to slow objects like race cars that have finished their runs.",,,,,,,,,,,,,,
