"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"SRIMAD BHAGAVATAM FIRST CANTO",,,"THE BHAKTIVEDANTA BOOK TRUST",1976,2,"15C",,,,,,,"A. C. BHAKTIVEDANTA SWAMI PRABHUPADA",,"15C56",,0,0,,,,,,,
"COMMUNICATIVE MAP SKILL [GEOGRAPHICAL]",,,"EVERGREEN PUBLICATIONS",0,0,"5C",,,,,,,"XAVIER PINTO",,"5C40",,0,0,,,,,,,
"DELHI GUIDE",,,"TOURIST PUBLICATION",0,0,"5D",,,,,,," ",,"5D270",,0,5,,,,,,,
"TEACHINGS OF LORD KAPILA THE SON OF DEVAHUTI",,,"THE BHAKTIVEDANTA BOOK TRUST",1980,0,"15C",,,,,,,"A. C. BHAKTIVEDANTA SWAMI PRABHUPADA",,"15C62",,0,0,,,,,,,
"foxpro 2.6 principles",,,"datapro infoworld ltd.",1995,0,"3F",,,,,,," ",,"3F10",,0,0,,,,,,,
"whos who in one day international",,,"sports publication",1987,0,"3F",,,,,,,"ravindra morparia",,"3F88",,0,60,,,,,,,
"HAND BOOK OF HINDU ASTROLOGY",,,"A SAGAR BOOK HOUSE",1992,0,"10C",,,,,,,"B. C. PAUL",,"10C172",,0,60,,,,,,,
"A GUIDE MADHYA PRADESH",,," ",1984,0,"5D",,,,,,," ",,"5D324",,0,0,,,,,,,
"world cup 99",,,"a times of india presentation",0,0,"3F",,,,,,,"sunil gavaskar",,"3F105",,0,150,,,,,,,
"computers",,,"twenty twenty media",0,0,"3G",,,,,,,"dinesh bahal",,"3G73",,0,25,,,,,,,
"computer at a glance",,,"h and c publishing house",0,0,"3G",,,,,,,"johnson velupadam",,"3G98",,0,10,,,,,,,
"COMPU LEARN",,,"NATIONAL INSTITUTE OF FINANCE AND ACCOUNTS",2000,0,"3G",,,,,,," ",,"3G131",,0,0,,,,,,,
"BOOK OF BABY NAMES",,,"goodwill publishing house",0,0,"8G",,,,,,,"DR. B. R. KISHORE",,"8G90",,0,45,,,,,,,
"SPESIAL NON VEGETARIANCOOK BOOK",,,"CREST PUBLISHING HOUSE",2001,0,"8I",,,,,,,"SNEHA R VIJ",,"8I30",,0,0,,,,,,,
"MACMILLEN ATLAS FOR INDIA",,,"macmillan india lyd",0,0,"5C",,,,,,," ",,"5C46",,0,50,,,,,,,
"VISUAL BASIC 6",,,"bpb publications",2001,0,"3G",,,,,,,"EVANGELOS PETROUTSOS",,"3G113",,0,450,,,,,,,
