"Title","edition","isbn_issn","publisher_id","publish_year","collation","series_title","call_number","language_id","publish_place_id","classification","notes","image ","file_att","authors","subjects","items","specific_detail","copies","price","url","supplier_id","subtitle","volumeno","serialno","keywords","bookreview","standards","frequency_id","Editor(s)","Producer","Director","Guide(s)","Publication","Publication Date","Academic Year","Abstract","Duration","Company","KeyActor/Actor","Country","State","City","Age Groups","Awards","College/Inst/Dept","University","Qualification","Journal/Serials","Index","Language 2"
"FUNDAMENTALS OF CALCULUS",,,"LOBUS PRESS ",2012,,,,"ENGLISH","NEW DELHI","515.8",,,,"KHAN, M, M.","MATHS,TITLE,","LJIT00065",,,"1495",,"UNIQUE BOOK STORE",,,,"MATHS,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE OUTER SOLAR SYSTEM: JUPITER SATURN URANUS NEPTUNE AND THE DWARF PLANETS: AN EXPLORERS GUIDE TO UNIVERS",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","523.2",,,,"GREGERSEN, E. ED.","PHY,TITLE,","LJIT00066",,,"800",,"UNIQUE BOOK STORE",,,,"PHY,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"MANNED SPACEFLIGHT: AN EXPLORERS GUIDE TO THE UNIVERSE",,,"BRITANNICA EDUCATIONAL PUBLISHING",2010,,,,"ENGLISH","NEW DELHI","629.45",,,,"GREGERSEN, E. ED.","OT,TITLE,","LJIT00067",,,"750",,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"MATH TRICKS PUZZLES AND GAMES",,,"ORIENT PAPERBACK",2007,,,,"ENGLISH","NEW DELHI","510",,,,"BLUM, R.","MATHS,TITLE,","LJIT00068",,,"60",,"UNIQUE BOOK STORE",,,,"MATHS,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"POSITIVE LIVING DAY BY DAY",,,"ORIENT PAPERBACK",2012,,,,"ENGLISH","NEW DELHI","242.2",,,,"PEALE, N, V.","GEN,TITLE,","LJIT00069",,,"140",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"VISUAL THINKING PUZZLES",,,"ORIENT PAPERBACK",2006,,,,"ENGLISH","NEW DELHI","793.28",,,,"DISPEZIO, M, A.","GEN,TITLE,","LJIT00070",,,"55",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"HIGH BLOOD CHOLESTEROL: CAUSES PREVENTION AND TREATMENT",,,"ORIENT PAPERBACK",2011,,,,"ENGLISH","NEW DELHI","616.3997",,,,"GUPTA, K.","GEN,TITLE,","LJIT00071",,,"130",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"DOING SIMPLE MATH IN YOUR HEAD: MATH IS FINALLY MADE EASY WITH THE RIGHT SHORTCUTS TIPS AND STRATEGIES",,,"ORIENT PAPERBACK",2011,,,,"ENGLISH","NEW DELHI","510",,,,"HOWARD, W, J.","MATHS,TITLE,","LJIT00072",,,"95",,"UNIQUE BOOK STORE",,,,"MATHS,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CHECK YOUR IQ",,,"ORIENT PAPERBACK",2012,,,,"ENGLISH","NEW DELHI","153.93",,,,"RUSSELL, K. AND CARTER, P.","GEN,TITLE,","LJIT00073",,,"95",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"SURPRISING SCIENCE PUZZLES",,,"ORIENT PAPERBACK",2010,,,,"ENGLISH","NEW DELHI","793.8",,,,"BRECHER, E.","GEN,TITLE,","LJIT00074",,,"75",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"IMITATION IS LIMITATION: BEING THE UNIQUE PERSON YOU ARE MEANT TO BE",,,"ORIENT PAPERBACK",2012,,,,"ENGLISH","NEW DELHI","248.4",,,,"MASON, J.","GEN,TITLE,","LJIT00075",,,"140",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
