"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"JACK AND THE BEANSTALK",,,"GRANDREAMS BOOKS LIMITED",,,2016,,,,,,,"GRACE DE LA TOUCHE",,"E2/2016",,0,,,,,,,,
"THE RESCUE",,,"A YEARLING BOOK",,,2017,,,,,,,"MARY CUNNINGHAM",,"E2/2017",,0,,,,,,,,
"THE VELVETEEN RABBIT",,,"GOLDEN BOOKS PUBLISHING CO.,",,,2018,,,,,,,"MARGERY WILLIAMS",,"E2/2018",,0,,,,,,,,
"JUGGLE WITH ME! ",,,"GOLDEN BOOKS PUBLISHING CO.,",,,2019,,,,,,,"ILSE MARGRET VOGEL",,"E2/2019",,0,,,,,,,,
"GIVING",,,"SILVER DOLPHIN",,,2020,,,,,,,"SHIRLEY PERICH",,"E2/2020",,0,,,,,,,,
"CAILLOU",,,"COLLINS",,,2022,,,,,,,"MARIOM",,"E2/2022",,0,,,,,,,,
"DINOSAUR",,,"GOLDEN BOOKS PUBLISHING CO.,",,,2023,,,,,,,"C. BAZALDUA",,"E2/2023",,0,,,,,,,,
"DINOSAUR BEACH",,,"SCHOLASTIC",,,2024,,,,,,,"LIZA DONNELY",,"E2/2024",,0,,,,,,,,
"AT THE AUTO REPAIR CENTER",,,"SCHOLASTIC",,,2025,,,,,,,"JUSTINE KORMAN",,"E2/2025",,0,3.95,,,,,,,
"DOWN AT THE DOCKS",,,"TIME-LIFE BOOKS",,,2026,,,,,,,"RICHARD COUNRTNEY",,"E2/2026",,0,3.25,,,,,,,
"THE BUNNY BUNCH FAMILY",,,"LANDOLL S INC.",,,2027,,,,,,,"SUNNY GRIFFIN",,"E2/2027",,0,,,,,,,,
"LOVE YOU FOREVER",,,"A FRIST TIME BOOK",,,2029,,,,,,,"ROBERT MUNSCH",,"E2/2029",,0,4.95,,,,,,,
"BUBBLE TROBLE",,,"SCHOLASTIC",,,2030,,,,,,,"LAURA DOWER",,"E2/2030",,0,3.5,,,,,,,
"SHOW ME YOUR SMILE!",,,"SIMON AND SCHUSTER SPOTLIGHT",,,2031,,,,,,,"CHRISTINE",,"E2/2031",,0,3.48,,,,,,,
"THEODORE AND THE WHALE",,,"RANDOM HOUSE",,,2032,,,,,,,"MARY- MAN KONG",,"E2/2032",,0,3.25,,,,,,,
"JUST THUNDERSTORM",,,"LITTLE BROWN & COMPANY",,,2033,,,,,,,"GINA &MERCER MAYER",,"E2/2033",,0,3.25,,,,,,,
"GOODNIGHT HORSEY",,,"SIMON AND SCHUSTER SPOTLIGHT",,,2034,,,,,,,"FRENK ASCH",,"E2/2034",,0,4.95,,,,,,,
