"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency",,,,,,
"MUCH ADO ABOUT NOTHING","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","135","ENGLISH MEDIUM",,"ED 5",,,,"WILLIAM SAKESPEARE","DRAMA","135",,,"$25.00",,,,,,,,,,,,,
"THE LIONS MANE","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","136","ENGLISH MEDIUM",,"ED 15",,,,"SIR ANTHAR CANON DAYLE","DRAMA","136",,,"$25.00",,,,,,,,,,,,,
"A MIDSUMMER NIGHTS DREAM","2001",,"CREST PUBLLISHNG HOUSE","2003","DRAMA","138","ENGLISH MEDIUM","NEW DELHI","ED 2",,,,"WILLIAM SHAKESPEARE","DRAMA","138",,,"$25.00",,,,,,,,,,,,,
"THE SIGN OF FOUR","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","139","ENGLISH MEDIUM",,"ED 14",,,,"SIR ANTHAR CANON DAYLE","DRAMA","139",,,"$25.00",,,,,,,,,,,,,
"TWELFTH NIGHT OR WHAT YOU WILL","2002",,"CRUST PUBLISHING HOUSE","2003","DRAMA","140","ENGLISH MEDIUM",,"ED 7",,,,"WILLIAM SAKESPEARE","DRAMA","140",,,"$25.00",,,,,,,,,,,,,
"ROBINSON CRUSOE","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","143","ENGLISH MEDIUM","DELHI","EA 4",,,,"DANIEL DEFOE","NOVEL","143",,,"$30.00",,,,,,,,,,,,,
"TREASURE ISLAND","2002",,"ROHAN BOOK COMPANY","2003","DRAMA","144","ENGLISH MEDIUM","DELHI","ED 17",,,,"R.L.STEVENSON","DRAMA","144",,,"$30.00",,,,,,,,,,,,,
"TREASURE ISLAND","2002",,"ROHAN BOOK COMPANY","2003","DRAMA","145","ENGLISH MEDIUM","DELHI","ED 18",,,,"R.L.STEVENSON","DRAMA","145",,,"$30.00",,,,,,,,,,,,,
"THE ADVENTURES OF TOM SAWYER","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","147","ENGLISH MEDIUM","DELHI","EA 16",,,,"MARK TWAIN","NOVEL","147",,,"$30.00",,,,,,,,,,,,,
"HEIDI","2002",,"ROHAN BOOK COMPANY","2003","STORY BOOK","149","ENGLISH MEDIUM","DELHI","EEB 22",,,,"JOANNA SPYRI","STORY BOOK","149",,,"$30.00",,,,,,,,,,,,,
"THE HUNCHBACK OF NOTRE DAME","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","151","ENGLISH MEDIUM","DELHI","EA 10",,,,"VICTOR HUGO","NOVEL","151",,,"$30.00",,,,,,,,,,,,,
"THE HUNCH BACK OF NOTRE DAME","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","153","ENGLISH MEDIUM","DELHI","EA 13",,,,"VICTOR HUGO","NOVEL","153",,,"$30.00",,,,,,,,,,,,,
"GULLIVERS TRAVEL","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","154","ENGLISH MEDIUM","DELHI","EEA 6",,,,"JONATHAN SWEFT","NOVEL","154",,,"$30.00",,,,,,,,,,,,,
"DAVID COPPERFIELD","2003",,"ROHAN BOOK COMPANY","2003","NOVEL","155","ENGLISH MEDIUM","DELHI","EA 6",,,,"CHARLES DICKENS","NOVEL","155",,,"$30.00",,,,,,,,,,,,,
"A TALE OF TWO CITIES","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","156","ENGLISH MEDIUM","DELHI","EA 15",,,,"CHARLES DICKNESS","NOVEL","156",,,"$30.00",,,,,,,,,,,,,
"IVANHOE","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","157","ENGLISH MEDIUM","DELHI","EA 9",,,,"SIR WALTER SCOTT","NOVEL","157",,,"$30.00",,,,,,,,,,,,,
"THE BLACK ARROW","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","158","ENGLISH MEDIUM","DELHI","EA 7",,,,"R.L.STEVENSON","NOVEL","158",,,"$30.00",,,,,,,,,,,,,
"THE ADVENTURES OF DON QUIXOTE","2002",,"JAICO PUBLICATION HOUSE","2003","NOVEL","159","ENGLISH MEDIUM","DELHI","EA 8",,,,"MIGUEL DECERVANTES","NOVEL","159",,,"$30.00",,,,,,,,,,,,,
"PUZZLE GEMS CROSSWORD","2002",,"PLAYMORE & WOLDMAN","2003","GK","160","ENGLISH MEDIUM",,"EK 22",,,,,"GK","160",,,"$35.00",,,,,,,,,,,,,
"THE LITTLE GIANT BOOK OF IDIOMS AND PHRASES","2002",,"GOODWILLS","2003","GRAMMER","162","ENGLISH MEDIUM","NEW DELHI","EFA 10",,,,"SOM PHILLIPS","GRAMMER","162",,,"$70.00",,,,,,,,,,,,,
"THE LITTLE GIANT BOOK OF PROVERBS","2002",,"GOODWILLS","2003","GRAMMER","163","ENGLISH MEDIUM","NEW DELHI","EFA 20",,,,"SAM PHILLIPS","GRAMMER","163",,,"$50.00",,,,,,,,,,,,,
"THE STRANGE CASE OF DR. JEKYLL AND MR. HYDE","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","165","ENGLISH MEDIUM","DELHI","EA 11",,,,"R.L.STEVENSON","NOVEL","165",,,"$30.00",,,,,,,,,,,,,
"WUTHERING HEIGHTS","2002",,"ROHAN BOOK COMPANY","2003","NOVEL","166","ENGLISH MEDIUM","DELHI","EA 14",,,,"EMILY BRONTE","NOVEL","166",,,"$30.00",,,,,,,,,,,,,
"PUZZLE PALS CROSSWORD","2002",,"PLAYMORE INTERNATIONAL","2003","GK","167","ENGLISH MEDIUM",,"EK 25",,,,,"GK","167",,,"$35.00",,,,,,,,,,,,,
"KNOW ABOUT VANISHED SPECIES","2002",,"GOODWILLS","2003","SCIENCE","172","ENGLISH MEDIUM","NEW DELHI","EFD 5",,,,"KIRAN GUPTA","SCIENCE","172",,,"$60.00",,,,,,,,,,,,,
"THE STORY OF GANDHI","2002",,"CHILDREN BOOK TRUST","2003","BIOGRAPHY","173","ENGLISH MEDIUM",,"EB 1",,,,"RAJKUMARI SHANKA","BIOGRAPHY","173",,,"$40.00",,,,,,,,,,,,,
"KNOW ABOUT MAMMALS","2002",,"GOODWILLS","2003","SCIENCE","174","ENGLISH MEDIUM","NEW DELHI","EFD 4",,,,"KIRAN GUPTA","SCIENCE","174",,,"$60.00",,,,,,,,,,,,,
