_neo4jInternalId,chapter_id,lessonId,lesson_title,standard_id,sub_institute_id,subject_id,teacher_id
375223,5705,568,,44,1,4483,
375224,5707,569,,44,1,4483,
375225,5708,570,,44,1,4483,
375226,5702,571,,44,1,4483,
375227,5704,572,,44,1,4483,
375228,5703,573,,44,1,4483,
375229,5711,574,,44,1,4483,
375230,5712,575,,44,1,4119,
375231,5719,576,,44,1,4119,
375232,5718,577,,44,1,4119,
375233,5717,578,,44,1,4119,
375234,5721,579,,44,1,4119,
375235,5714,580,,44,1,4119,
375236,5715,581,,44,1,4119,
375237,5716,582,,44,1,4119,
375238,5713,583,,44,1,4119,
375239,5723,584,,44,1,4119,
375240,5725,585,,44,1,4119,
375241,5722,586,,44,1,4119,
375242,5724,587,,44,1,4119,
375243,5720,588,,44,1,4119,
375244,5699,589,,44,1,4472,
375245,5689,590,,44,1,4472,
375246,5691,591,,44,1,4472,
375247,5687,592,,44,1,4472,
375248,5683,593,,44,1,4472,
375249,5686,594,,44,1,4472,
375250,5684,595,,44,1,4472,
375251,5682,596,,44,1,4472,
375252,5685,597,,44,1,4472,
375253,5697,598,,44,1,4472,
375254,5701,599,,44,1,4472,
375255,5698,600,,44,1,4472,
375256,5700,601,,44,1,4472,
375257,5694,602,,44,1,4472,
375258,5692,603,,44,1,4472,
375259,5695,604,,44,1,4472,
375260,5693,605,,44,1,4472,
375261,5696,606,,44,1,4472,
375262,5690,607,,44,1,4472,
375263,5688,608,,44,1,4472,
375264,5755,609,,44,1,3978,
375265,5754,610,,44,1,3978,
375266,5753,611,,44,1,3978,
375267,5752,612,,44,1,3978,
375268,5751,613,,44,1,3978,
375269,5750,614,,44,1,3978,
375270,5749,615,,44,1,3978,
375271,5748,616,,44,1,3978,
375272,5744,617,,44,1,3978,
375273,5743,618,,44,1,3978,
375274,5747,619,,44,1,3978,
375275,5746,620,,44,1,3978,
375276,5745,621,,44,1,3978,
375277,5761,622,,44,1,4435,
375278,5759,623,,44,1,4435,
375279,5760,624,,44,1,4435,
375280,5758,625,,44,1,4435,
375281,5757,626,,44,1,4435,
375282,5762,627,,44,1,4435,
375283,5795,628,,44,1,4481,
375284,5794,629,,44,1,4481,
375285,5793,630,,44,1,4481,
375286,5792,631,,44,1,4481,
375287,5791,632,,44,1,4481,
375288,5790,633,,44,1,4481,
375289,5789,634,,44,1,4481,
375290,5788,635,,44,1,4481,
375291,5787,636,,44,1,4481,
375292,5786,637,,44,1,4481,
375293,5785,638,,44,1,4481,
375294,5784,639,,44,1,4481,
375295,5783,640,,44,1,4481,
375296,5782,641,,44,1,4481,
375297,5781,642,,44,1,4481,
375298,5780,643,,44,1,4481,
375299,5779,644,,44,1,4481,
375300,5778,645,,44,1,4481,
375301,5777,646,,44,1,4481,
375302,5776,647,,44,1,4481,
375303,5775,648,,44,1,4481,
375304,5774,649,,44,1,4481,
375305,5773,650,,44,1,4481,
375306,5741,651,,44,1,3976,
375307,5740,652,,44,1,3976,
375308,5739,653,,44,1,3976,
375309,5738,654,,44,1,3976,
375310,5737,655,,44,1,3976,
375311,5736,656,,44,1,3976,
375312,5727,657,,44,1,3976,
375313,5735,658,,44,1,3976,
375314,5734,659,,44,1,3976,
375315,5733,660,,44,1,3976,
375316,5732,661,,44,1,3976,
375317,5726,662,,44,1,3976,
375318,5731,663,,44,1,3976,
375319,5730,664,,44,1,3976,
375320,5729,665,,44,1,3976,
375321,5728,666,,44,1,3976,
375322,5664,667,,44,1,3975,
375323,5663,668,,44,1,3975,
375324,5665,669,,44,1,3975,
375325,5661,670,,44,1,3975,
375326,5662,671,,44,1,3975,
375327,5668,672,,44,1,3975,
375328,5667,673,,44,1,3975,
375329,5666,674,,44,1,3975,
375330,5656,675,,44,1,3975,
375331,5660,676,,44,1,3975,
375332,5659,677,,44,1,3975,
375333,5654,678,,44,1,3975,
375334,5655,679,,44,1,3975,
375335,5657,680,,44,1,3975,
375336,5658,681,,44,1,3975,
375337,5965,682,,45,1,4482,
375338,5971,683,,45,1,4482,
375339,5964,684,,45,1,4482,
375340,5970,685,,45,1,4482,
375341,5961,686,,45,1,4482,
375342,5969,687,,45,1,4482,
