_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,database_type
979486,198672,Result,"{""question_paper_id"":""1388"",""student_id"":""97926"",""resultId"":""23035""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979487,199137,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""23517""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979488,199226,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23606""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979489,199228,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23608""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979490,199234,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23614""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979491,199236,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23616""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979492,199237,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23617""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979493,199250,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23630""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979494,199251,Result,"{""question_paper_id"":""1688"",""student_id"":""97382"",""resultId"":""23631""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}",
979495,199467,Result,"{""question_paper_id"":""1680"",""student_id"":""97382"",""resultId"":""23851""}",374614,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""11-July-2023 Chapter-2"",""grade_id"":""11"",""assId"":""1680""}",
979496,310850,Result,"{""question_paper_id"":""1688"",""student_id"":""97382"",""resultId"":""50200""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}",
979497,321673,Result,"{""question_paper_id"":""3035"",""student_id"":""97382"",""resultId"":""62415""}",374622,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""18-04-2024 to 19-04-2024"",""grade_id"":""11"",""assId"":""3035""}",
979498,321674,Result,"{""question_paper_id"":""3035"",""student_id"":""97382"",""resultId"":""62416""}",374622,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""18-04-2024 to 19-04-2024"",""grade_id"":""11"",""assId"":""3035""}",
979499,336450,Result,"{""question_paper_id"":""1688"",""student_id"":""97926"",""resultId"":""66143""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}",
979500,336980,Result,"{""question_paper_id"":""1688"",""student_id"":""97926"",""resultId"":""66779""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}",
979501,337214,Result,"{""question_paper_id"":""1688"",""student_id"":""97926"",""resultId"":""67080""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}",
979502,337370,Result,"{""question_paper_id"":""1688"",""student_id"":""97382"",""resultId"":""67249""}",374615,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3976"",""paper_name"":""13-July Test by Rajesh"",""grade_id"":""11"",""assId"":""1688""}",
979503,46775,Result,"{""question_paper_id"":""4595"",""student_id"":""243327"",""resultId"":""129491""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}",
979504,46776,Result,"{""question_paper_id"":""4595"",""student_id"":""243327"",""resultId"":""129492""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}",
979505,46778,Result,"{""question_paper_id"":""4595"",""student_id"":""243327"",""resultId"":""129494""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}",
979506,46786,Result,"{""question_paper_id"":""4595"",""student_id"":""243327"",""resultId"":""129502""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}",
979507,46788,Result,"{""question_paper_id"":""4595"",""student_id"":""243327"",""resultId"":""129504""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}",
979508,46789,Result,"{""question_paper_id"":""4595"",""student_id"":""243327"",""resultId"":""129505""}",374669,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""42"",""subject_id"":""3975"",""paper_name"":""Testing"",""grade_id"":""12"",""assId"":""4595""}",
979509,154110,Result,"{""id"":""169309"",""question_paper_id"":""5499"",""student_id"":""100239"",""resultId"":""169309""}",374679,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5499""}",
979510,154112,Result,"{""id"":""169310"",""question_paper_id"":""5500"",""student_id"":""100239"",""resultId"":""169310""}",374680,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5500""}",
979511,154111,Result,"{""id"":""169311"",""question_paper_id"":""5501"",""student_id"":""100239"",""resultId"":""169311""}",374681,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5501""}",
979512,154113,Result,"{""id"":""169312"",""question_paper_id"":""5502"",""student_id"":""100239"",""resultId"":""169312""}",374682,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5502""}",
979513,154116,Result,"{""id"":""169313"",""question_paper_id"":""5503"",""student_id"":""100239"",""resultId"":""169313""}",374683,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5503""}",
979514,154557,Result,"{""id"":""169321"",""question_paper_id"":""5504"",""student_id"":""100239"",""resultId"":""169321""}",374684,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5504""}",
979515,154587,Result,"{""id"":""169323"",""question_paper_id"":""5507"",""student_id"":""100239"",""resultId"":""169323""}",374687,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5507""}",
979516,365307,Result,"{""id"":""169327"",""question_paper_id"":""5508"",""student_id"":""100239"",""resultId"":""169327""}",374688,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5508""}",
979517,365320,Result,"{""id"":""169328"",""question_paper_id"":""5509"",""student_id"":""100239"",""resultId"":""169328""}",374689,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5509""}",
979518,371797,Result,"{""question_paper_id"":""5602"",""student_id"":""97382"",""resultId"":""173393""}",374696,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""4064"",""standard_id"":""39"",""paper_name"":""PAL - Locating Places on the Earth - 20-04-2026"",""grade_id"":""11"",""assId"":""5602""}",
979519,371799,Result,"{""question_paper_id"":""5603"",""student_id"":""190488"",""resultId"":""173394""}",374697,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL - The Wonderful World of Science - 20-04-2026"",""grade_id"":""11"",""assId"":""5603""}",
979520,371801,Result,"{""question_paper_id"":""5604"",""student_id"":""97382"",""resultId"":""173400""}",374698,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""4064"",""standard_id"":""39"",""paper_name"":""PAL - Locating Places on the Earth - 20-04-2026"",""grade_id"":""11"",""assId"":""5604""}",
979521,371803,Result,"{""question_paper_id"":""5605"",""student_id"":""97382"",""resultId"":""173405""}",374699,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""4064"",""standard_id"":""39"",""paper_name"":""PAL - Locating Places on the Earth - 20-04-2026"",""grade_id"":""11"",""assId"":""5605""}",
979522,371805,Result,"{""question_paper_id"":""5606"",""student_id"":""97382"",""resultId"":""173416""}",374700,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""4064"",""standard_id"":""39"",""paper_name"":""PAL - Locating Places on the Earth - 20-04-2026"",""grade_id"":""11"",""assId"":""5606""}",
